trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
37	354.57748130000004	phase0	0		174	200.0	2.0	0.15	2.0	0.75	0.25	0.2	356.71295710000004	1.448218499999939
37	356.0256998	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	358.1611756	4.001656600000047
37	360.02735640000003	phase2	2		6	200.0	2.0	0.15	2.0	0.75	0.25	0.2	362.1628322	0.04993679999995493
37	360.0772932	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	362.212769	2.9999715999999808
37	361.27748940000004	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	363.41296520000003	
38	363.07726479999997	phase0	0		207	200.0	2.0	0.15	2.0	0.75	0.25	0.2	365.21274059999996	1.7248577000000296
38	364.8021225	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	366.9375983	3.999908399999981
38	368.8020309	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	370.9375067	0.002327799999989111
38	368.80435869999997	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	370.93983449999996	2.9975782999999865
38	369.7022356	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	371.8377114	
39	371.80193699999995	phase0	0		203	200.0	2.0	0.15	2.0	0.75	0.25	0.2	373.93741279999995	1.6915413000000399
39	373.4934783	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	375.6289541	3.9999440999999933
39	377.4934224	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	379.6288982	0.09825769999997647
39	377.59168009999996	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	379.72715589999996	3.0016189000000395
39	379.1668902	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	381.302366	
40	380.593299	phase0	0		258	200.0	2.0	0.15	2.0	0.75	0.25	0.2	382.7287748	2.1499787999999853
40	382.7432778	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	384.8787536	3.9998484999999846
40	386.7431263	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	388.87860209999997	0.29996040000003177
40	387.0430867	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	389.1785625	2.99994479999998
40	388.4932939	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	390.6287697	
41	390.0430315	phase0	0		93	200.0	2.0	0.15	2.0	0.75	0.25	0.2	392.1785073	0.7732131000000209
41	390.8162446	phase1	1		60	200.0	2.0	0.15	2.0	0.75	0.25	0.2	392.9517204	0.5000092999999879
41	391.3162539	phase2	2		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	393.4517297	4.001580800000056
41	395.31783470000005	phase3	3		232	200.0	2.0	0.15	2.0	0.75	0.25	0.2	397.45331050000004	1.9316018999999187
