trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
11	231.27405700000054	alternation	29		24	232.3788041000007	0.20000999999956548
11	231.4740670000001	alternation	30		24	232.57881410000027	0.19996960000025865
11	231.67403660000036	alternation	31		24	232.77878370000053	0.19980759999998554
11	231.87384420000035	alternation	32		24	232.97859130000052	0.20019200000024284
11	232.0740362000006	alternation	33		24	233.17878330000076	0.20171320000008564
11	232.27574940000068	alternation	34		24	233.38049650000085	0.20006479999938165
11	232.47581420000006	alternation	35		24	233.58056130000023	0.1999340000002121
11	232.67574820000027	alternation	36		24	233.78049530000044	0.1999669000006179
11	232.8757151000009	alternation	37		24	233.98046220000106	0.2000027999993108
11	233.0757179000002	alternation	38		24	234.18046500000037	0.20002670000030776
11	233.2757446000005	alternation	39		24	234.38049170000068	0.19994279999991704
12	233.47568740000042	text_phase	0		476	234.5804345000006	3.966540999999779
12	237.4257957000009	response	0	space		238.53054280000106	
13	237.4422284000002	alternation	0		25	238.54697550000037	0.2083399000002828
13	237.6505683000005	alternation	1		24	238.75531540000065	0.19998450000002777
13	237.85055280000051	alternation	2		24	238.95529990000068	0.19999879999977566
13	238.0505516000003	alternation	3		24	239.15529870000046	0.2000373999999283
13	238.25058900000022	alternation	4		24	239.3553361000004	0.19994990000031976
13	238.45053890000054	alternation	5		24	239.5552860000007	0.20001630000024306
13	238.65055520000078	alternation	6		24	239.75530230000095	0.199960199999623
13	238.8505154000004	alternation	7		24	239.95526250000057	0.20002829999975802
13	239.05054370000016	alternation	8		24	240.15529080000033	0.1999825000002602
13	239.25052620000042	alternation	9		24	240.3552733000006	0.19997679999960383
13	239.45050300000003	alternation	10		24	240.5552501000002	0.20003510000060487
13	239.65053810000063	alternation	11		24	240.7552852000008	0.19991589999972348
13	239.85045400000035	alternation	12		24	240.95520110000052	0.20005700000001525
13	240.05051100000037	alternation	13		24	241.15525810000054	0.1999671000003218
13	240.2504781000007	alternation	14		24	241.35522520000086	0.19998200000009092
13	240.45046010000078	alternation	15		24	241.55520720000095	0.2000090999999884
13	240.65046920000077	alternation	16		24	241.75521630000094	0.198307499999828
13	240.8487767000006	alternation	17		24	241.95352380000077	0.1999558999996225
13	241.04873260000022	alternation	18		24	242.1534797000004	0.19997220000004745
13	241.24870480000027	alternation	19		24	242.35345190000044	0.20002730000032898
13	241.4487321000006	alternation	20		24	242.55347920000077	0.19997779999994236
13	241.64870990000054	alternation	21		24	242.7534570000007	0.1998236999997971
13	241.84853360000034	alternation	22		24	242.9532807000005	0.20015760000023874
13	242.04869120000058	alternation	23		24	243.15343830000074	0.19999189999998634
13	242.24868310000056	alternation	24		24	243.35343020000073	0.19999559999996563
13	242.44867870000053	alternation	25		24	243.5534258000007	0.2018343999998251
13	242.65051310000035	alternation	26		24	243.75526020000052	0.1999311999998099
