trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
16	187.9728176	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	190.0397519	0.09998510000002625
16	188.07280270000004	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	190.13973700000003	2.9999368000000004
16	188.74630320000003	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	190.8132375	
17	191.07273950000004	phase0	0		274	200.0	2.0	0.15	2.0	0.75	0.25	0.2	193.13967380000003	2.2832773999999745
17	193.35601690000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	195.4229512	3.999845800000003
17	197.35586270000002	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	199.422797	0.20000579999998536
17	197.5558685	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	199.6228028	2.999873500000035
17	198.2477277	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	200.314662	
18	200.55574200000004	phase0	0		211	200.0	2.0	0.15	2.0	0.75	0.25	0.2	202.62267630000002	1.7565538999999717
18	202.3122959	phase1	1		479	200.0	2.0	0.15	2.0	0.75	0.25	0.2	204.3792302	3.993287100000032
18	206.30558300000004	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	208.37251730000003	0.2999846999999818
18	206.60556770000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	208.672502	2.999904700000002
18	207.38083330000003	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	209.44776760000002	
19	209.60547240000002	phase0	0		178	200.0	2.0	0.15	2.0	0.75	0.25	0.2	211.6724067	1.4832926999999927
19	211.08876510000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	213.1556994	3.999872900000014
19	215.08863800000003	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	217.15557230000002	0.19999469999999064
19	215.28863270000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	217.355567	2.999893600000007
19	216.39726	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	218.46419429999997	
20	218.28852630000003	phase0	0		330	200.0	2.0	0.15	2.0	0.75	0.25	0.2	220.35546060000001	2.749955699999987
20	221.03848200000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	223.1054163	3.9998808999999937
20	225.0383629	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	227.1052972	0.14996580000001813
20	225.18832870000003	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	227.255263	2.9999242000000095
20	226.1801374	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	228.2470717	
21	228.18825290000004	phase0	0		252	200.0	2.0	0.15	2.0	0.75	0.25	0.2	230.25518720000002	2.099977699999954
21	230.2882306	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	232.35516489999998	3.999935100000016
21	234.2881657	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	236.3551	0.14990929999999025
21	234.438075	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	236.50500929999998	2.99995899999999
21	235.16328220000003	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	237.2302165	
22	237.438034	phase0	0		300	200.0	2.0	0.15	2.0	0.75	0.25	0.2	239.50496829999997	2.4998288000000457
22	239.93786280000003	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	242.00479710000002	3.9998866999999905
22	243.93774950000002	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	246.0046838	0.002322199999980512
22	243.9400717	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	246.007006	2.997572400000024
22	244.77963520000003	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	246.84656950000002	
23	246.93764410000003	phase0	0		210	200.0	2.0	0.15	2.0	0.75	0.25	0.2	249.0045784	1.7482544999999732
23	248.6858986	phase1	1		479	200.0	2.0	0.15	2.0	0.75	0.25	0.2	250.7528329	3.9933298000000264
23	252.67922840000003	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	254.7461627	0.24990579999996498
23	252.9291342	phase3	3		361	200.0	2.0	0.15	2.0	0.75	0.25	0.2	254.99606849999998	3.008245400000021
23	254.29598190000002	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	256.3629162	
24	255.9373796	phase0	0		149	200.0	2.0	0.15	2.0	0.75	0.25	0.2	258.0043139	1.2416067000000055
24	257.1789863	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	259.2459206	3.999913099999958
24	261.1788994	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	263.24583369999993	0.09980110000003606
24	261.2787005	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	263.34563479999997	3.000086699999997
24	261.9124697	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	263.97940399999993	
25	264.2787872	phase0	0		278	200.0	2.0	0.15	2.0	0.75	0.25	0.2	266.34572149999997	2.316610800000035
25	266.59539800000005	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	268.6623323	3.9998390999999174
25	270.59523709999996	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	272.6621713999999	0.2500006000000212
25	270.8452377	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	272.91217199999994	2.999929400000042
25	271.62709270000005	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	273.694027	
26	273.8451671	phase0	0		246	200.0	2.0	0.15	2.0	0.75	0.25	0.2	275.9121014	2.0499639999999317
26	275.89513109999996	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	277.9620653999999	3.999835800000028
26	279.8949669	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	281.96190119999994	0.15000229999998282
26	280.04496919999997	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	282.1119034999999	2.9999065000000655
26	281.06188629999997	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	283.1288205999999	
27	283.04487570000003	phase0	0		202	200.0	2.0	0.15	2.0	0.75	0.25	0.2	285.11181	1.683261899999934
27	284.72813759999997	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	286.7950718999999	3.999913300000003
27	288.72805089999997	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	290.7949851999999	0.002176700000063647
27	288.73022760000003	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	290.7971619	2.9977622999999767
27	289.41160909999996	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	291.4785433999999	
28	291.7279899	phase0	0		284	200.0	2.0	0.15	2.0	0.75	0.25	0.2	293.79492419999997	2.3665349000000333
28	294.09452480000004	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	296.1614591	3.9998668999999154
28	298.09439169999996	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	300.1613259999999	0.30000350000000253
28	298.39439519999996	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	300.4613294999999	2.9999122000000398
28	299.16790860000003	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	301.2348429	
29	301.3943074	phase0	0		245	200.0	2.0	0.15	2.0	0.75	0.25	0.2	303.46124169999996	2.0417379000000437
29	303.43604530000005	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	305.5029796	3.9997313999999733
29	307.4357767	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	309.502711	0.14999669999997423
29	307.5857734	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	309.65270769999995	2.999892300000056
29	308.47764700000005	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	310.5445813	
30	310.58566570000005	phase0	0		338	200.0	2.0	0.15	2.0	0.75	0.25	0.2	312.6526	2.8165976999999884
30	313.40226340000004	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	315.4691977	3.9998997000000145
30	317.40216310000005	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	319.4690974	0.3000157000000172
