trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
17	149.4402292000001	phase0	0		274	200.0	2.0	0.15	2.0	0.75	0.25	0.2	151.48601470000017	2.2832487999999103
17	151.723478	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	153.76926350000008	3.9998727000000827
17	155.72335070000008	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	157.76913620000016	0.19997259999991002
17	155.9233233	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	157.96910880000007	2.9999775
17	157.33014120000007	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	159.37592670000015	
18	158.9233008	phase0	0		210	200.0	2.0	0.15	2.0	0.75	0.25	0.2	160.96908630000007	1.7498963000000458
18	160.67319710000004	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	162.71898260000012	3.9998847000000524
18	164.6730818000001	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	166.71886730000017	0.2999814999999444
18	164.97306330000004	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	167.01884880000011	2.999925899999994
18	166.95654790000003	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	169.0023334000001	
19	167.97298920000003	phase0	0		178	200.0	2.0	0.15	2.0	0.75	0.25	0.2	170.0187747000001	1.4815441000000646
19	169.4545333000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	171.50031880000017	4.001613499999962
19	173.45614680000006	phase2	2		24	200.0	2.0	0.15	2.0	0.75	0.25	0.2	175.50193230000014	0.1999915000000101
19	173.65613830000007	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	175.70192380000015	2.9998932999999397
19	175.83963760000006	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	177.88542310000014	
20	176.6560316	phase0	0		330	200.0	2.0	0.15	2.0	0.75	0.25	0.2	178.70181710000008	2.749923400000057
20	179.40595500000006	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	181.45174050000014	3.999872900000014
20	183.40582790000008	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	185.45161340000016	0.15005709999991268
20	183.555885	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	185.60167050000007	2.9998635000000604
20	185.69762460000004	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	187.74341010000012	
21	186.55574850000005	phase0	0		252	200.0	2.0	0.15	2.0	0.75	0.25	0.2	188.60153400000013	2.0999950000000354
21	188.65574350000009	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	190.70152900000016	3.99981559999992
21	192.6555591	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	194.70134460000008	0.14999840000007225
21	192.80555750000008	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	194.85134300000016	2.9998934999999847
21	194.70566760000008	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	196.75145310000016	
22	195.80545100000006	phase0	0		300	200.0	2.0	0.15	2.0	0.75	0.25	0.2	197.85123650000014	2.49991
22	198.30536100000006	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	200.35114650000014	3.999896100000001
22	202.30525710000006	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	204.35104260000014	0.0020958999999720618
22	202.30735300000003	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	204.3531385000001	2.9977992000000313
22	204.12206290000006	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	206.16784840000014	
23	205.30515220000007	phase0	0		210	200.0	2.0	0.15	2.0	0.75	0.25	0.2	207.35093770000015	1.748221199999989
23	207.05337340000005	phase1	1		479	200.0	2.0	0.15	2.0	0.75	0.25	0.2	209.09915890000013	3.9932925000000523
23	211.0466659000001	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	213.0924514000002	0.2500244999998813
23	211.2966904	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	213.34247590000007	2.9998330000000806
23	213.53846550000003	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	215.5842510000001	
24	214.29652340000007	phase0	0		150	200.0	2.0	0.15	2.0	0.75	0.25	0.2	216.34230890000015	1.249988999999914
24	215.54651239999998	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	217.59229790000006	3.999862699999994
24	219.54637509999998	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	221.59216060000006	0.1000550999999632
24	219.64643019999994	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	221.69221570000002	2.9999189000000115
24	221.48840229999996	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	223.53418780000004	
25	222.64634909999995	phase0	0		278	200.0	2.0	0.15	2.0	0.75	0.25	0.2	224.69213460000003	2.3165645000001405
25	224.9629136000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	227.00869910000017	3.999852499999861
25	228.96276609999995	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	231.00855160000003	0.2500145000001339
25	229.2127806000001	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	231.25856610000017	2.9998756999998477
25	231.03790870000012	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	233.0836942000002	
26	232.21265629999994	phase0	0		246	200.0	2.0	0.15	2.0	0.75	0.25	0.2	234.2584418	2.049773200000118
26	234.26242950000005	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	236.30821500000013	3.9998668000000634
26	238.26229630000012	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	240.3080818000002	0.1501771999999164
26	238.41247350000003	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	240.4582590000001	2.9999127000000954
26	239.9961327000001	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	242.04191820000017	
27	241.41238620000013	phase0	0		202	200.0	2.0	0.15	2.0	0.75	0.25	0.2	243.4581717000002	1.6833056999998917
27	243.09569190000002	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	245.1414774000001	3.999896499999977
27	247.0955884	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	249.14137390000008	0.0022289000000910164
27	247.0978173000001	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	249.14360280000017	2.997622500000034
27	249.21237940000015	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	251.25816490000022	
28	250.09543980000012	phase0	0		284	200.0	2.0	0.15	2.0	0.75	0.25	0.2	252.1412253000002	2.3665876000000026
28	252.46202740000012	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	254.5078129000002	3.9999061999999412
28	256.46193360000007	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	258.50771910000014	0.3000442000000021
28	256.76197780000007	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	258.80776330000015	2.999896300000046
28	258.31208119999997	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	260.35786670000005	
29	259.7618741000001	phase0	0		245	200.0	2.0	0.15	2.0	0.75	0.25	0.2	261.8076596000002	2.0415671999999176
29	261.80344130000003	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	263.8492268000001	3.9998407999999017
29	265.80328209999993	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	267.8490676	0.15001210000013998
29	265.9532942000001	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	267.99907970000015	2.999927200000002
29	268.07016640000006	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	270.11595190000014	
30	268.9532214000001	phase0	0		338	200.0	2.0	0.15	2.0	0.75	0.25	0.2	270.99900690000015	2.816547700000001
30	271.7697691000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	273.81555460000016	3.9998884999999973
30	275.7696576000001	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	277.81544310000015	0.2999944000000596
30	276.06965200000013	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	278.1154375000002	2.9999219999999696
30	278.0536727000001	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	280.0994582000002	
31	279.0695740000001	phase0	0		344	200.0	2.0	0.15	2.0	0.75	0.25	0.2	281.1153595000002	2.8665624000000207
31	281.9361364000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	283.9819219000002	3.9998967999999877
31	285.9360332000001	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	287.9818187000002	0.0999867999998969
31	286.03602	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	288.0818055000001	2.999905000000126
31	288.10283030000005	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	290.14861580000013	
32	289.03592500000013	phase0	0		301	200.0	2.0	0.15	2.0	0.75	0.25	0.2	291.0817105000002	2.508243999999877
32	291.544169	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	293.5899545000001	3.9998814000000493
32	295.54405040000006	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	297.58983590000014	0.24997319999988576
32	295.79402359999995	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	297.8398091	2.999928600000203
32	297.80254850000006	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	299.84833400000014	
33	298.79395220000015	phase0	0		153	200.0	2.0	0.15	2.0	0.75	0.25	0.2	300.8397377000002	1.273247199999787
33	300.06719939999994	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	302.1129849	4.001610100000107
33	304.06880950000004	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	306.1145950000001	0.2497768000000633
33	304.3185863000001	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	306.3643718000002	3.000102099999822
33	306.2522954000001	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	308.2980809000002	
34	307.3186883999999	phase0	0		316	200.0	2.0	0.15	2.0	0.75	0.25	0.2	309.3644739	2.6332527000001846
34	309.9519411000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	311.9977266000002	3.9998875999999655
34	313.9518287000001	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	315.99761420000016	0.29825510000000577
34	314.2500838000001	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	316.29586930000016	3.001646400000027
34	316.13533440000015	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	318.1811199000002	
35	317.2517302000001	phase0	0		270	200.0	2.0	0.15	2.0	0.75	0.25	0.2	319.2975157000002	2.24998370000003
35	319.50171390000014	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	321.5474994000002	3.9998072999999295
35	323.50152120000007	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	325.54730670000015	0.1499997999999323
35	323.651521	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	325.6973065000001	2.999899300000152
35	326.16838759999996	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	328.21417310000004	
36	326.65142030000015	phase0	0		244	200.0	2.0	0.15	2.0	0.75	0.25	0.2	328.69720580000023	2.033312799999976
36	328.68473310000013	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	330.7305186000002	3.9998456999999235
36	332.68457880000005	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	334.73036430000013	0.00218300000005911
36	332.6867618000001	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	334.7325473000002	2.9977429999999003
